datetime,price_el,price_gas,demand_th
2025-12-31 23:00:00,59.0811716401,35.175313825,3.79
2026-01-01 00:00:00,46.3769937132,35.175313825,3.79
2026-01-01 01:00:00,42.3939349292,35.175313825,3.83
2026-01-01 02:00:00,41.1229869437,35.175313825,3.96
2026-01-01 03:00:00,38.6085864193,35.175313825,4.1
2026-01-01 04:00:00,37.9201748062,35.175313825,4.6
2026-01-01 05:00:00,38.2941042905,35.175313825,5.15
2026-01-01 06:00:00,39.2324473816,34.9336248986,5.2
2026-01-01 07:00:00,42.3976479383,34.9336248986,5.17
2026-01-01 08:00:00,46.6322008853,34.9336248986,5.21
2026-01-01 09:00:00,48.6802482727,34.9336248986,5.41
2026-01-01 10:00:00,48.1188453177,34.9336248986,5.35
2026-01-01 11:00:00,47.9043146046,34.9336248986,5.38
2026-01-01 12:00:00,46.0563577586,34.9336248986,5.4
2026-01-01 13:00:00,42.976179487,34.9336248986,5.34
2026-01-01 14:00:00,46.2465792028,34.9336248986,5.45
2026-01-01 15:00:00,52.3275505849,34.9336248986,5.45
2026-01-01 16:00:00,57.7658046428,34.9336248986,5.55
2026-01-01 17:00:00,65.8867673863,34.9336248986,5.64
2026-01-01 18:00:00,67.087145426,34.9336248986,5.62
2026-01-01 19:00:00,62.9743196193,34.9336248986,5.63
2026-01-01 20:00:00,56.0850447782,34.9336248986,5.69
2026-01-01 21:00:00,51.2966105742,34.9336248986,5.55
2026-01-01 22:00:00,51.0626556498,34.9336248986,4.98
2026-01-01 23:00:00,44.2456447238,34.9336248986,3.92
2026-01-02 00:00:00,50.5607510061,34.9336248986,3.87
2026-01-02 01:00:00,48.1564322897,34.9336248986,3.97
2026-01-02 02:00:00,46.8402006752,34.9336248986,4.11
2026-01-02 03:00:00,44.9821741237,34.9336248986,4.33
2026-01-02 04:00:00,44.9247398163,34.9336248986,4.83
2026-01-02 05:00:00,46.0197829758,34.9336248986,5.4
2026-01-02 06:00:00,47.8443649552,34.934131148,5.56
2026-01-02 07:00:00,53.4614669492,34.934131148,5.62
2026-01-02 08:00:00,59.7946520535,34.934131148,5.56
2026-01-02 09:00:00,61.1059592586,34.934131148,5.5
2026-01-02 10:00:00,57.5069481928,34.934131148,5.41
2026-01-02 11:00:00,55.8407697314,34.934131148,5.27
2026-01-02 12:00:00,54.5469288199,34.934131148,5.28
2026-01-02 13:00:00,53.3498593157,34.934131148,5.33
2026-01-02 14:00:00,55.9962103712,34.934131148,5.47
2026-01-02 15:00:00,61.6057020231,34.934131148,5.66
2026-01-02 16:00:00,67.2875378092,34.934131148,5.75
2026-01-02 17:00:00,74.6994843734,34.934131148,5.83
2026-01-02 18:00:00,75.178851739,34.934131148,5.83
2026-01-02 19:00:00,69.3575181989,34.934131148,5.75
2026-01-02 20:00:00,61.9389479325,34.934131148,5.68
2026-01-02 21:00:00,56.8297692394,34.934131148,5.57
2026-01-02 22:00:00,54.3517091479,34.934131148,5.08
2026-01-02 23:00:00,49.5717695922,34.934131148,4.02
2026-01-03 00:00:00,50.9547115432,34.934131148,4.0
2026-01-03 01:00:00,48.550262447,34.934131148,4.11
2026-01-03 02:00:00,47.2338972598,34.934131148,4.26
2026-01-03 03:00:00,45.3757339429,34.934131148,4.37
2026-01-03 04:00:00,45.3181596774,34.934131148,4.84
2026-01-03 05:00:00,46.413059686,34.934131148,5.35
2026-01-03 06:00:00,48.2374953217,34.9341894074,5.36
2026-01-03 07:00:00,53.8544477793,34.9341894074,5.35
2026-01-03 08:00:00,59.740860552,34.9341894074,5.45
2026-01-03 09:00:00,61.0420355394,34.9341894074,5.53
2026-01-03 10:00:00,57.4709129003,34.9341894074,5.52
2026-01-03 11:00:00,55.8176523971,34.9341894074,5.33
2026-01-03 12:00:00,54.5338429347,34.9341894074,5.31
