datetime,chp_gas_in,chp_el_out,chp_heat_out,chp_status,heat_demand,electricity_price,gas_price
2026-04-01 00:00:00,7.445,2.77,3.41,1.0,3.41,88.513,33.577
2026-04-01 01:00:00,7.664,2.851,3.51,1.0,3.51,83.846,33.577
2026-04-01 02:00:00,7.904,2.94,3.62,1.0,3.62,82.212,33.577
2026-04-01 03:00:00,8.341,3.103,3.82,1.0,3.82,81.092,33.577
2026-04-01 04:00:00,9.301,3.46,4.26,1.0,4.26,82.633,33.577
2026-04-01 05:00:00,10.306,3.834,4.72,1.0,4.72,90.672,33.577
2026-04-01 06:00:00,10.611,3.947,4.86,1.0,4.86,115.888,33.494
2026-04-01 07:00:00,10.895,4.053,4.99,1.0,4.99,136.232,33.494
2026-04-01 08:00:00,10.546,3.923,4.83,1.0,4.83,97.98,33.494
2026-04-01 09:00:00,9.934,3.696,4.55,1.0,4.55,80.22,33.494
2026-04-01 10:00:00,9.541,3.549,4.37,1.0,4.37,66.34,33.494
2026-04-01 11:00:00,9.41,3.501,4.31,1.0,4.31,57.879,33.494
2026-04-01 12:00:00,9.323,3.468,4.27,1.0,4.27,50.097,33.494
2026-04-01 13:00:00,9.476,3.525,4.34,1.0,4.34,45.316,33.494
2026-04-01 14:00:00,9.432,3.509,4.32,1.0,4.32,46.424,33.494
2026-04-01 15:00:00,9.607,3.574,4.4,1.0,4.4,51.546,33.494
2026-04-01 16:00:00,9.803,3.647,4.49,1.0,4.49,60.901,33.494
2026-04-01 17:00:00,10.109,3.761,4.63,1.0,4.63,76.566,33.494
2026-04-01 18:00:00,10.524,3.915,4.82,1.0,4.82,94.27,33.494
2026-04-01 19:00:00,10.83,4.029,4.96,1.0,4.96,118.265,33.494
2026-04-01 20:00:00,10.983,4.086,5.03,1.0,5.03,143.138,33.494
2026-04-01 21:00:00,10.786,4.012,4.94,1.0,4.94,117.756,33.494
2026-04-01 22:00:00,9.803,3.647,4.49,1.0,4.49,104.623,33.494
2026-04-01 23:00:00,7.926,2.948,3.63,1.0,3.63,93.472,33.494
2026-04-02 00:00:00,7.62,2.835,3.49,1.0,3.49,88.463,33.494
2026-04-02 01:00:00,7.751,2.883,3.55,1.0,3.55,83.796,33.494
2026-04-02 02:00:00,7.969,2.965,3.65,1.0,3.65,82.162,33.494
2026-04-02 03:00:00,8.428,3.135,3.86,1.0,3.86,81.043,33.494
2026-04-02 04:00:00,9.345,3.476,4.28,1.0,4.28,82.584,33.494
2026-04-02 05:00:00,10.328,3.842,4.73,1.0,4.73,90.622,33.494
2026-04-02 06:00:00,10.611,3.947,4.86,1.0,4.86,115.839,33.437
2026-04-02 07:00:00,10.721,3.988,4.91,1.0,4.91,136.183,33.437
2026-04-02 08:00:00,10.306,3.834,4.72,1.0,4.72,97.931,33.437
2026-04-02 09:00:00,9.694,3.606,4.44,1.0,4.44,80.171,33.437
2026-04-02 10:00:00,9.039,3.363,4.14,1.0,4.14,66.291,33.437
2026-04-02 11:00:00,8.668,3.225,3.97,1.0,3.97,57.83,33.437
2026-04-02 12:00:00,8.603,3.2,3.94,1.0,3.94,50.048,33.437
2026-04-02 13:00:00,8.69,3.233,3.98,1.0,3.98,45.267,33.437
2026-04-02 14:00:00,8.493,3.16,3.89,1.0,3.89,46.375,33.437
2026-04-02 15:00:00,8.712,3.241,3.99,1.0,3.99,51.497,33.437
2026-04-02 16:00:00,8.952,3.33,4.1,1.0,4.1,60.852,33.437
2026-04-02 17:00:00,9.301,3.46,4.26,1.0,4.26,76.518,33.437
2026-04-02 18:00:00,9.825,3.655,4.5,1.0,4.5,94.221,33.437
2026-04-02 19:00:00,10.175,3.785,4.66,1.0,4.66,118.217,33.437
2026-04-02 20:00:00,10.284,3.826,4.71,1.0,4.71,143.09,33.437
2026-04-02 21:00:00,10.153,3.777,4.65,1.0,4.65,117.708,33.437
2026-04-02 22:00:00,9.367,3.484,4.29,1.0,4.29,104.575,33.437
2026-04-02 23:00:00,7.62,2.835,3.49,1.0,3.49,93.425,33.437
2026-04-03 00:00:00,7.336,2.729,3.36,1.0,3.36,73.156,33.437
2026-04-03 01:00:00,7.62,2.835,3.49,1.0,3.49,66.524,33.437
2026-04-03 02:00:00,7.817,2.908,3.58,1.0,3.58,64.617,33.437
2026-04-03 03:00:00,8.253,3.07,3.78,1.0,3.78,62.259,33.437
2026-04-03 04:00:00,9.105,3.387,4.17,1.0,4.17,62.297,33.437
2026-04-03 05:00:00,9.978,3.712,4.57,1.0,4.57,64.124,33.437
2026-04-03 06:00:00,10.131,3.769,4.64,1.0,4.64,65.312,33.131
2026-04-03 07:00:00,10.131,3.769,4.64,1.0,4.64,67.488,33.131
2026-04-03 08:00:00,9.803,3.647,4.49,1.0,4.49,49.666,33.131
2026-04-03 09:00:00,9.651,3.59,4.42,1.0,4.42,42.051,33.131
2026-04-03 10:00:00,9.148,3.403,4.19,1.0,4.19,31.797,33.131
2026-04-03 11:00:00,9.192,3.419,4.21,1.0,4.21,24.812,33.131
2026-04-03 12:00:00,8.996,3.346,4.12,1.0,4.12,19.043,33.131
2026-04-03 13:00:00,8.908,3.314,4.08,1.0,4.08,13.149,33.131
2026-04-03 14:00:00,8.865,3.298,4.06,1.0,4.06,13.564,33.131
2026-04-03 15:00:00,8.712,3.241,3.99,1.0,3.99,22.133,33.131
2026-04-03 16:00:00,8.996,3.346,4.12,1.0,4.12,39.319,33.131
2026-04-03 17:00:00,9.41,3.501,4.31,1.0,4.31,62.608,33.131
2026-04-03 18:00:00,9.738,3.623,4.46,1.0,4.46,81.189,33.131
2026-04-03 19:00:00,10.306,3.834,4.72,1.0,4.72,89.277,33.131
2026-04-03 20:00:00,10.786,4.012,4.94,1.0,4.94,109.547,33.131
2026-04-03 21:00:00,10.502,3.907,4.81,1.0,4.81,98.781,33.131
2026-04-03 22:00:00,9.432,3.509,4.32,1.0,4.32,91.894,33.131
2026-04-03 23:00:00,7.751,2.883,3.55,1.0,3.55,83.812,33.131
2026-04-04 00:00:00,7.642,2.843,3.5,1.0,3.5,83.456,33.131
